yyyymm,dp,ep,bm,ntis,svar,dfy,tms,tbl
200001,-4.423938054878034,-3.3464706997741467,0.15465416,0.0253587833,0.0052062998,0.005500000000000005,0.013400000000000009,0.0532
200002,-4.402226056187224,-3.307460563045661,0.1670564326,0.0274188202,0.0030004662,0.006100000000000008,0.009100000000000004,0.0555
200003,-4.4931588523750365,-3.3814285123830174,0.1499735618,0.0182913889,0.0066783159,0.006900000000000003,0.004900000000000002,0.0569
200004,-4.463030952415649,-3.3438231459436056,0.1526004182,0.0119449439,0.0079417469,0.0076000000000000095,0.006400000000000003,0.0566
200005,-4.442031639960686,-3.3153768796096763,0.1556687311,0.0091785263,0.0051854234,0.009099999999999997,0.006100000000000001,0.0579
200006,-4.466838016020212,-3.3327821553246055,0.1567779616,0.0071242106,0.0023597572,0.008099999999999996,0.005299999999999999,0.0569
200007,-4.457511302057062,-3.304943503608637,0.155674151,0.0047122344,0.0020654329,0.007000000000000006,0.0015000000000000013,0.0596
200008,-4.523640483168055,-3.352635034731566,0.146053064,0.0046746388,0.0010392529,0.007100000000000009,-0.0015000000000000013,0.0609
200009,-4.475927445490471,-3.286558838244723,0.1537894629,0.0044689194,0.0015999952,0.007300000000000001,0.0011999999999999997,0.06
200010,-4.472514544008221,-3.3048313721468716,0.1493007889,0.0037442834,0.0055682093,0.007900000000000004,-0.0011000000000000038,0.0611
200011,-4.390615832894612,-3.24516420981715,0.1572808929,0.0011574509,0.0032724144,0.008300000000000002,-0.0040999999999999995,0.0617
200012,-4.396214732140832,-3.2735761088698685,0.1518515036,-0.0022617468,0.0052992481,0.008099999999999996,-0.001899999999999999,0.0577
200101,-4.436386559722948,-3.338498018987097,0.1504496662,-0.0031925961,0.004941018,0.007800000000000001,0.004700000000000003,0.0515
200102,-4.345720976990203,-3.2735220948117743,0.1560700913,-0.0068557259,0.0025284102,0.007700000000000012,0.006099999999999994,0.0488
200103,-4.285559929593664,-3.240066951988588,0.1331135514,-0.0052134481,0.0071395945,0.008599999999999997,0.011699999999999995,0.0442
200104,-4.365576320783312,-3.3796294325242546,0.1224969006,-0.0025430211,0.0074262611,0.0087,0.0206,0.0387
200105,-4.376692983735494,-3.454865607302754,0.120510188,-0.0002482858,0.0025362374,0.0077999999999999875,0.0232,0.0362
200106,-4.357453946678575,-3.5049964723523663,0.1252094328,0.0050407602,0.0015083583,0.00789999999999999,0.024099999999999996,0.0349
200107,-4.345558979110116,-3.5741111213337295,0.1249665833,0.0079138394,0.0028996134,0.00839999999999999,0.020999999999999998,0.0351
200108,-4.278246788565765,-3.5947488575480153,0.1321641438,0.0099183282,0.0022215212,0.008300000000000002,0.021000000000000005,0.0336
200109,-4.191928348979534,-3.6046643309424833,0.1486285882,0.0086527389,0.0071675937,0.008599999999999997,0.0278,0.0264
200110,-4.209782927604504,-3.6661611267055525,0.1449013996,0.0107492699,0.0032497725,0.008800000000000002,0.028999999999999998,0.0216
200111,-4.282178321372422,-3.7841854213684436,0.1334813667,0.0111617704,0.002189358,0.008400000000000005,0.0366,0.0187
200112,-4.28964101787342,-3.8394479575055884,0.1312178459,0.013464826,0.0017979581,0.012800000000000006,0.040600000000000004,0.0169
200201,-4.274154323112603,-3.8236179354188486,0.1325605487,0.0111912933,0.0021838795,0.013200000000000003,0.0404,0.0165
200202,-4.253385515243487,-3.8024953690512175,0.1301190857,0.0124990245,0.002567843,0.013799999999999993,0.0391,0.0172
200203,-4.289675359703148,-3.8384418331394023,0.2368334023,0.0137594522,0.0020148209,0.013000000000000012,0.0425,0.0179
200204,-4.219764024469622,-3.7478989317026783,0.2477323126,0.0151068542,0.002319778,0.012700000000000003,0.040400000000000005,0.0171
200205,-4.2041567508495525,-3.7123358799950954,0.2482556141,0.0222773365,0.0041016102,0.013399999999999995,0.040499999999999994,0.0173
200206,-4.1224897491626304,-3.6113524338440746,0.2665725018,0.0275227647,0.0037079467,0.013200000000000003,0.039599999999999996,0.017
200207,-4.045200303160939,-3.48874940111177,0.2820321945,0.0284410315,0.0153427907,0.013700000000000004,0.037599999999999995,0.0168
200208,-4.0550952994243445,-3.454868059764967,0.284411556,0.0247476916,0.0094092909,0.0121,0.0348,0.0162
