round,start_date,end_date,r2
1,2000-01-01,2011-01-01,-0.4272887088911892
2,2000-01-01,2012-01-01,-0.20145957404961323
3,2000-01-01,2013-01-01,-0.07473297436895954
4,2000-01-01,2014-01-01,-0.41764720146961354
5,2000-01-01,2015-01-01,-0.2969301593273699
6,2000-01-01,2016-01-01,-0.3673863150400163
7,2000-01-01,2017-01-01,-0.22326381999828016
8,2000-01-01,2018-01-01,-0.21502592550612398
9,2000-01-01,2019-01-01,-0.4360488380211913
10,2000-01-01,2020-01-01,-0.0730746298241085
11,2000-01-01,2021-01-01,-0.21768716747901196
12,2000-01-01,2022-01-01,-0.07396035291469949
13,2000-01-01,2023-01-01,-0.19068981781571015
14,2000-01-01,2024-01-01,-0.05894024125684427
