round,start_date,end_date,best_K,r2
1,2000-01-01,2011-01-01,4,-0.3128750292863862
2,2000-01-01,2012-01-01,8,-0.1900401206780733
3,2000-01-01,2013-01-01,4,-0.1084959779329231
4,2000-01-01,2014-01-01,4,-0.40160134703789496
5,2000-01-01,2015-01-01,4,-0.17751927712421423
6,2000-01-01,2016-01-01,4,-0.1766901485944723
7,2000-01-01,2017-01-01,4,-0.15045903654355008
8,2000-01-01,2018-01-01,4,-0.14386591711247498
9,2000-01-01,2019-01-01,4,-0.34394329653997957
10,2000-01-01,2020-01-01,8,-0.05723334387251633
11,2000-01-01,2021-01-01,4,-0.08020978527787914
12,2000-01-01,2022-01-01,4,-0.03841545012523784
