,count
ebitda_mev,3
ret_6_1_ep,1
prc_ep,1
ret_6_1_dp,1
resff3_6_1_dp,1
rd_me_dp,1
prc_dp,1
noa_at_dfy,1
op_at_svar,1
noa_at_svar,1
op_at_bm,1
noa_at_bm,1
ocf_at_ntis,1
op_at_ep,1
noa_at_ep,1
op_at_dp,1
noa_at_dp,1
niq_be_dp,1
ni_inc8q_tms,1
netdebt_me_tms,1
ni_inc8q_ntis,1
ncoa_gr1a_ntis,1
mispricing_perf_ntis,1
f_score_ntis,1
eqnpo_12m_ntis,1
eq_dur_ntis,1
emp_gr1_ntis,1
ebitda_mev_ntis,1
ebit_sale_ntis,1
fcf_me_ep,1
fcf_me_dp,1
rd_me_ep,1
resff3_12_1_ntis,1
cop_at_tbl,1
ret_6_1_ntis,1
sale_gr1_tbl,1
seas_2_5na_tms,1
saleq_gr1_tms,1
seas_2_5an_dfy,1
sale_me_dfy,1
rmax5_21d_dfy,1
seas_2_5an_svar,1
sale_me_svar,1
rmax5_21d_svar,1
seas_2_5an_bm,1
sale_me_bm,1
seas_1_1an_ntis,1
sale_me_ntis,1
rmax5_21d_ntis,1
seas_2_5an_ep,1
rmax5_21d_ep,1
seas_2_5an_dp,1
rmax5_21d_dp,1
ret_6_1_tbl,1
rd_me_tbl,1
prc_tbl,1
ret_12_7_tms,1
ret_1_0_tms,1
ret_6_1_dfy,1
rd_me_dfy,1
ret_6_1_svar,1
rd_me_svar,1
ret_6_1_bm,1
rd_me_bm,1
coskew_21d_tbl,1
chcsho_12m_tbl,1
ebitda_mev_dp,1
at_be_ep,1
bidaskhl_21d_dp,1
be_gr1a_dp,1
at_be_dp,1
aliq_at_dp,1
seas_2_5an,1
sale_me,1
sale_gr1,1
rmax5_rvol_21d,1
rmax5_21d,1
ret_6_1,1
resff3_6_1,1
rd_me,1
prc,1
op_at,1
noa_gr1a,1
noa_at,1
niq_be,1
ivol_capm_252d,1
fcf_me,1
eq_dur,1
dolvol_126d,1
debt_me,1
coskew_21d,1
cop_at,1
capx_gr1,1
be_gr1a,1
at_be,1
aliq_at,1
ebitda_mev_ep,1
capx_gr1_dp,1
be_gr1a_ep,1
cash_at_tms,1
beta_60m_ntis,1
coskew_21d_dfy,1
cop_at_dfy,1
chcsho_12m_dfy,1
coskew_21d_svar,1
cop_at_svar,1
chcsho_12m_svar,1
coskew_21d_bm,1
cop_at_bm,1
chcsho_12m_bm,1
div12m_me_ntis,1
coskew_21d_ep,1
cop_at_ep,1
chcsho_12m_ep,1
coskew_21d_dp,1
cop_at_dp,1
chcsho_12m_dp,1
bidaskhl_21d_tbl,1
beta_dimson_21d_tms,1
age_tms,1
bidaskhl_21d_dfy,1
be_gr1a_dfy,1
at_be_dfy,1
bidaskhl_21d_svar,1
be_gr1a_svar,1
at_be_svar,1
bidaskhl_21d_bm,1
be_gr1a_bm,1
at_be_bm,1
betadown_252d_ntis,1
sale_me_tbl,1
