round,start_date,end_date,r2_ols
1,2000-01-01,2011-01-01,-0.04716557366310048
2,2000-01-01,2012-01-01,-0.014948388190013429
3,2000-01-01,2013-01-01,-0.033852255064861225
4,2000-01-01,2014-01-01,-0.1302626613684792
5,2000-01-01,2015-01-01,-0.02570708343672279
6,2000-01-01,2016-01-01,-0.01695564721877152
7,2000-01-01,2017-01-01,-0.006804990010887968
8,2000-01-01,2018-01-01,-0.019589320232725305
9,2000-01-01,2019-01-01,-0.028571272274043658
10,2000-01-01,2020-01-01,-0.03487210487585135
11,2000-01-01,2021-01-01,-0.016673120748656123
12,2000-01-01,2022-01-01,0.002651887166703615
13,2000-01-01,2023-01-01,-0.02618483354047374
14,2000-01-01,2024-01-01,-0.015734127777676132
