round,start_date,end_date,r2_xgb
1,2000/1/1,2011/1/1,-0.062569687
2,2000/1/1,2012/1/1,-0.045492536
3,2000/1/1,2013/1/1,-0.119405833
4,2000/1/1,2014/1/1,-0.145832772
5,2000/1/1,2015/1/1,-0.090754345
6,2000/1/1,2016/1/1,-0.072004239
7,2000/1/1,2017/1/1,-0.002262573
8,2000/1/1,2018/1/1,-0.140458061
9,2000/1/1,2019/1/1,-0.065650805
10,2000/1/1,2020/1/1,-0.112739988
11,2000/1/1,2021/1/1,-0.020843151
12,2000/1/1,2022/1/1,-0.051861801
13,2000/1/1,2023/1/1,-0.045416079
14,2000/1/1,2024/1/1,-0.081399202
